source_id,openalex,issn_l,issn,mag,wikidata,fatcat
186893535,186893535,0002-9475,"[""1086-3168"", ""0002-9475""]",186893535.0,,
2764633851,2764633851,0065-2849,"[""0065-2849""]",2764633851.0,27708861.0,container/oz4trvt7f5bwbkkgvx4j3ark2a
4210229599,4210229599,0065-9711,"[""0065-9711"", ""2325-9213""]",,27716485.0,
2764961556,2764961556,,,2764961556.0,1966994.0,
4306465910,4306465910,,,,,
4306488690,4306488690,,,,,
2764881039,2764881039,0737-5328,"[""0737-5328""]",2764881039.0,15767427.0,container/2dumr2n6ungzxojxxtdbodvehq
4210182089,4210182089,1940-641X,"[""1940-641X"", ""2329-1176""]",,96735300.0,
2764381488,2764381488,0003-4827,"[""2473-9006"", ""0003-4827""]",2764381488.0,,
4210173592,4210173592,0033-2151,"[""0033-2151"", ""2299-002X""]",,20035376.0,
2765019749,2765019749,,,2765019749.0,,
4210233686,4210233686,0034-9429,"[""2340-3632"", ""0034-9429""]",,24066316.0,
4210218705,4210218705,1664-5561,"[""1664-5561""]",,27725506.0,container/r4xwlif5ardvfjbkb2atxxkvye
187383566,187383566,1355-8250,"[""2051-2201"", ""1355-8250""]",187383566.0,,
8441994,8441994,0310-7841,"[""0310-7841"", ""1446-5655""]",8441994.0,45120141.0,
2764580912,2764580912,1556-3847,"[""1556-3847""]",2764580912.0,15750847.0,container/pvi4naxdazeo7fwgx5y7nz3vua
2764649054,2764649054,0042-7500,"[""0042-7500""]",2764649054.0,,
4306470823,4306470823,,,,,
4210192794,4210192794,0104-5687,"[""1679-3919"", ""1809-399X"", ""0104-5687""]",,,
4306518851,4306518851,,,,,
2764764382,2764764382,0094-1956,"[""0094-1956""]",2764764382.0,15758223.0,container/koz2wye2rnfkte3f6ogr5lb4t4
4306477686,4306477686,,,,,
2737512657,2737512657,1034-7674,"[""1034-7674"", ""1839-4345"", ""1444-8262""]",2737512657.0,,
4306463288,4306463288,,,,,
4306496402,4306496402,,,,,
4210234035,4210234035,0080-2042,"[""0080-2042""]",,15760415.0,container/f5if4l4xafafhn6l5jxufd5hhm
112731537,112731537,0734-4392,"[""0734-4392"", ""1945-2349""]",112731537.0,,
2764900296,2764900296,0959-5295,"[""0959-5295"", ""2397-2564""]",2764900296.0,29043832.0,
34504840,34504840,0386-6157,"[""0386-6157"", ""1883-7239""]",34504840.0,96330053.0,
4306520995,4306520995,,,,,
4306524284,4306524284,,,,15763209.0,
4306482415,4306482415,,,,,
4210234603,4210234603,0536-1079,"[""1943-2976"", ""0536-1079""]",,,
139349145,139349145,1366-8781,"[""1366-8781"", ""1468-4004""]",139349145.0,,
4210211768,4210211768,0253-7494,"[""0253-7494""]",,96334986.0,container/fps72vuy4rfzja5azgqk27xrvu
74377273,74377273,0312-9764,"[""0312-9764"", ""2200-4025""]",74377273.0,,
4306524007,4306524007,,,,,
28836401,28836401,0036-5505,"[""0036-5505"", ""1940-2228""]",28836401.0,27713400.0,
4306464348,4306464348,,,,8068364.0,
21947851,21947851,,,21947851.0,,
4210228447,4210228447,9999-1233,"[""9999-1233""]",,96733259.0,
2764797711,2764797711,0276-928X,"[""0276-928X""]",2764797711.0,,container/bgztj36iirg6lfoh27sfg4nk6m
79704879,79704879,0024-2527,"[""0024-2527"", ""2159-9610""]",79704879.0,,
4306504014,4306504014,,,,,
4306507326,4306507326,,,,102219268.0,
60034445,60034445,0004-3648,"[""0004-3648"", ""2296-4215""]",60034445.0,15710129.0,
2764377789,2764377789,1521-3374,"[""1521-3374""]",2764377789.0,,container/32s4hepawjf3tcmm5k7ry7zfpm
4210178584,4210178584,0031-9430,"[""0031-9430"", ""2377-7583""]",,2230701.0,
75244570,75244570,0012-9402,"[""0012-9402"", ""1420-9128""]",75244570.0,100451090.0,
4306464306,4306464306,,,,,
14824431,14824431,0885-7024,"[""2381-0688"", ""0885-7024""]",14824431.0,,
4210190833,4210190833,0010-2628,"[""0010-2628"", ""1213-7243""]",,15745453.0,
167045310,167045310,0022-4154,"[""0022-4154""]",167045310.0,105228281.0,container/fzqjp5rivrhu3jr7fjkweuamoy
134948390,134948390,0024-0672,"[""0024-0672""]",134948390.0,,
179234039,179234039,0361-2759,"[""0361-2759"", ""1930-8280""]",179234039.0,47247796.0,
2764944799,2764944799,0264-2425,"[""0264-2425""]",2764944799.0,15757666.0,
4306463770,4306463770,,,,,
4210215105,4210215105,1231-7853,"[""1231-7853""]",,11770343.0,container/vfj2t5ehzncv3hat4iv4vujwkm
201711328,201711328,0258-7696,"[""0258-7696"", ""1726-1368""]",201711328.0,53952262.0,
2765006665,2765006665,,,2765006665.0,,
4306470294,4306470294,,,,,
4306473931,4306473931,,,,,
4306482941,4306482941,,,,,
4306465107,4306465107,,,,,
2765044994,2765044994,,,2765044994.0,,
4210224710,4210224710,1967-7375,"[""2554-8689"", ""1967-7375""]",,47542384.0,
4306471687,4306471687,,,,,
4306463059,4306463059,,,,,
2764564467,2764564467,1068-5502,"[""1068-5502"", ""2327-8285""]",2764564467.0,2078802.0,
2764422564,2764422564,0192-592X,"[""0192-592X""]",2764422564.0,,
4210182543,4210182543,0028-6621,"[""0028-6621"", ""2153-909X""]",,27716636.0,
4306521176,4306521176,0251-3552,"[""0251-3552""]",,2004353.0,
25983388,25983388,1943-8141,"[""1943-8141""]",25983388.0,4744272.0,container/2xvkdjzlavahph6xfu3twcdxsu
4306470974,4306470974,,,,,
4306471870,4306471870,,,,,
4210177666,4210177666,0001-026X,"[""0001-026X"", ""2326-9014""]",,26849753.0,
4306463166,4306463166,,,,,
14445259,14445259,1043-1578,"[""1043-1578"", ""2327-641X""]",14445259.0,,
2764647102,2764647102,,,2764647102.0,,
4306522964,4306522964,,,,,
2738082917,2738082917,1059-308X,"[""1059-308X""]",2738082917.0,15765025.0,
2764343864,2764343864,0003-1003,"[""0003-1003"", ""2326-9618""]",2764343864.0,15763101.0,
62427620,62427620,1063-6552,"[""1063-6552"", ""1558-1861""]",62427620.0,96330719.0,
4306462860,4306462860,,,,,
955795595,955795595,,,955795595.0,,
1013561213,1013561213,0016-5301,"[""0016-5301"", ""0717-6643""]",1013561213.0,5876443.0,
4210186704,4210186704,2192-4848,"[""2365-9890"", ""2192-4848""]",,1438072.0,
4306520033,4306520033,,,,,
75294269,75294269,0099-5444,"[""0099-5444"", ""2220-5608"", ""2220-5616""]",75294269.0,15765630.0,
4306496171,4306496171,,,,,
2765048991,2765048991,,,2765048991.0,,
4210192536,4210192536,1088-3142,"[""1088-3142"", ""1946-4444""]",,15708565.0,
59599649,59599649,0024-2306,"[""0024-2306"", ""1745-8161""]",59599649.0,56755362.0,
4306503796,4306503796,,,,,
2764752694,2764752694,1995-0748,"[""1995-0748"", ""1998-1074""]",2764752694.0,96325993.0,
4306512479,4306512479,,,,,
106374951,106374951,2090-0171,"[""2090-0171"", ""2090-0163""]",106374951.0,26842033.0,
4210174426,4210174426,1478-7814,"[""1478-7814"", ""1747-3845""]",,53952334.0,
178736797,178736797,0028-1484,"[""0028-1484""]",178736797.0,6981971.0,
4306465592,4306465592,,,,,
4306508851,4306508851,,,,,
2764740311,2764740311,0034-0510,"[""0034-0510""]",2764740311.0,108279988.0,container/f5ztxnuuprbfxcg7bjg4npkrja
42018803,42018803,0009-8078,"[""0009-8078"", ""1533-6271""]",42018803.0,15762783.0,
152325859,152325859,0006-8063,"[""0006-8063"", ""2070-4860""]",152325859.0,21385075.0,
4306463021,4306463021,,,,,
194663980,194663980,0010-8847,"[""0010-8847""]",194663980.0,5171540.0,
4306514330,4306514330,,,,,
2764344921,2764344921,0025-6307,"[""0025-6307""]",2764344921.0,96728122.0,
2765038642,2765038642,2010-3778,"[""2010-3778"", ""2010-376X""]",2765038642.0,,
18848838,18848838,0041-3216,"[""0041-3216""]",18848838.0,15750886.0,container/d6gy5dtuazc75mbnxfabnvwyda
4210180357,4210180357,0025-6307,"[""0025-6307""]",,96728122.0,container/vujczqpiubdclhtmnljyw7aiza
4306463577,4306463577,,,,,
173948692,173948692,0364-0094,"[""0364-0094"", ""1475-4541""]",173948692.0,,
2898589984,2898589984,0370-4475,"[""2212-1110"", ""0370-4475""]",2898589984.0,27713075.0,
4210168266,4210168266,0737-8211,"[""0737-8211"", ""2328-2398""]",,6136937.0,
4306523176,4306523176,,,,,
4210168934,4210168934,1434-3452,"[""1434-3452""]",,,container/63xulluu2zffhfs4t7ee3nrpvm
4210173695,4210173695,0890-1686,"[""0890-1686"", ""2327-9672""]",,,
4306511226,4306511226,,,,15756066.0,
48392412,48392412,1425-5960,"[""1425-5960""]",48392412.0,9324449.0,container/ttslp4rfxvbbrdlafwi76rocla
180332110,180332110,1555-5879,"[""2194-6000"", ""1555-5879""]",180332110.0,,
4306463693,4306463693,,,,,
4210204192,4210204192,0308-4590,"[""0308-4590"", ""2058-0991""]",,96325049.0,
182401666,182401666,1811-9743,"[""1811-9743"", ""1811-9751""]",182401666.0,96332392.0,
2739148201,2739148201,0313-7155,"[""0313-7155""]",2739148201.0,15750353.0,
4210182864,4210182864,0033-250X,"[""0033-250X"", ""2449-996X""]",,96730127.0,
4306474870,4306474870,,,,,
2765020624,2765020624,,,2765020624.0,,
4306482583,4306482583,,,,,
4306501679,4306501679,,,,,
2764653491,2764653491,,,2764653491.0,,
4306520261,4306520261,0027-142X,"[""0027-142X""]",,27720873.0,
4210207221,4210207221,1466-9404,"[""1466-9404"", ""2517-6145""]",,53953222.0,
2764547617,2764547617,1577-7057,"[""1577-7057""]",2764547617.0,,
92130131,92130131,0001-6829,"[""0001-6829"", ""2450-8462""]",92130131.0,9138986.0,
2764355406,2764355406,1818-6769,"[""1818-6769"", ""1818-6777"", ""1990-4053""]",2764355406.0,27722205.0,
4210178669,4210178669,1045-5110,"[""1045-5110""]",,,
179237239,179237239,0266-6235,"[""0266-6235""]",179237239.0,6296190.0,container/d6tcawdbofdylmrtioeagkg3oy
976474146,976474146,0032-3233,"[""2336-8225"", ""0032-3233""]",976474146.0,,
2764840307,2764840307,0024-1822,"[""0024-1822""]",2764840307.0,,
4210191321,4210191321,1011-0798,"[""1011-0798""]",,186741.0,container/7mo6z7iyyvgujeflvapwfjmapy
73505065,73505065,0360-2370,"[""0360-2370"", ""1938-6133""]",73505065.0,,
120000808,120000808,0042-2533,"[""0042-2533""]",120000808.0,7914442.0,
139685423,139685423,1931-7883,"[""1931-7891"", ""1931-7883""]",139685423.0,96327808.0,
189519060,189519060,1757-5931,"[""1757-5931""]",189519060.0,27722435.0,container/dtf3qj247rd4laza54auvcbiqe
2764660481,2764660481,0713-3235,"[""0713-3235""]",2764660481.0,15756736.0,container/tsmakvsr4bfy5k2ku2xd3jh3vi
105317937,105317937,1079-3917,"[""1079-3917""]",105317937.0,28464911.0,container/4dlubja2inbwbfmg7qnjj4k5ja
2765054229,2765054229,0003-0953,"[""0003-0953""]",2765054229.0,26839688.0,container/ohs2mrd4mfbdtd52ymo2ecuy7m
4306524771,4306524771,,,,,
2764749937,2764749937,0771-100X,"[""0771-100X""]",2764749937.0,,
165167377,165167377,1547-0350,"[""1547-0350""]",165167377.0,15758439.0,container/olepuv2wkbdkzpgsynm7kohm3m
152351146,152351146,0034-8635,"[""0034-8635""]",152351146.0,2563492.0,container/t36umafm4bfjfijof6jzosuvne
2764745110,2764745110,1991-8178,"[""1991-8178"", ""2309-8414""]",2764745110.0,15762086.0,
4306507771,4306507771,0975-5071,"[""0975-5071""]",,27727135.0,
4210168012,4210168012,1793-0774,"[""1793-0774""]",,,container/7ndqts5embdv7fn4kpfjf6tuca
4210202480,4210202480,2449-9862,"[""0137-8651"", ""2449-9862""]",,96728384.0,
15476261,15476261,1479-0556,"[""1479-0556""]",15476261.0,15767223.0,container/ryq5vm2mavca3pmmbysu46owjy
4210231335,4210231335,0147-829X,"[""0147-829X"", ""2326-1501""]",,,
153957239,153957239,1463-631X,"[""1463-631X"", ""1470-6725""]",153957239.0,,
185386126,185386126,1088-9388,"[""1088-9388"", ""2377-7893""]",185386126.0,27718391.0,
4210223984,4210223984,1088-9388,"[""1088-9388"", ""2377-7893""]",,27718391.0,
4210225601,4210225601,0302-2439,"[""0302-2439"", ""2316-9052""]",,15733641.0,
4306515997,4306515997,,,,63717759.0,
4306479686,4306479686,,,,,
4306516378,4306516378,,,,96725882.0,
4210179875,4210179875,0738-1433,"[""1949-0410"", ""0738-1433""]",,96737926.0,
4210205350,4210205350,1861-4191,"[""1861-4191""]",,,container/bxylqbf6mfabxczf5s5jqysdva
2764555313,2764555313,1083-4346,"[""1083-4346""]",2764555313.0,15763603.0,container/mhu2i6blmvfmrjwbigvo534re4
2764422806,2764422806,1539-8706,"[""1539-8706""]",2764422806.0,15756681.0,container/u5ou76aijzfkteahhjuzgmrbmi
4210213319,4210213319,0096-2015,"[""2374-9814"", ""0096-2015""]",,,
4306535024,4306535024,,,,,
2764863161,2764863161,1096-1453,"[""1096-1453""]",2764863161.0,15752411.0,container/oc3lhn4oandf3jbj625c3qdcni
2764652438,2764652438,,,2764652438.0,15755411.0,
101668441,101668441,0347-9994,"[""0347-9994""]",101668441.0,15766969.0,container/v2y4uocfznfrhkuvc6tyheisq4
4306471281,4306471281,,,,,
4306481211,4306481211,,,,,
2764894508,2764894508,,,2764894508.0,,
1028545993,1028545993,1506-218X,"[""1506-218X""]",1028545993.0,96332537.0,
27925394,27925394,0026-3788,"[""0026-3788""]",27925394.0,,
2764425017,2764425017,0043-0439,"[""0043-0439"", ""2573-2110""]",2764425017.0,5405702.0,
4306526828,4306526828,,,,,
2764584009,2764584009,,,2764584009.0,,
4306472139,4306472139,,,,,
4317411217,4317411217,,,,,
4210190653,4210190653,0105-0710,"[""0105-0710"", ""2246-042X""]",,34333894.0,
2764673317,2764673317,0710-1481,"[""0710-1481""]",2764673317.0,15754145.0,container/rjtrgiwlljhkbaaiyiw4lxoj4i
4306496265,4306496265,,,,,
61255767,61255767,1560-4284,"[""1560-4284""]",61255767.0,26842431.0,container/rvroezjev5djdiu5xy642ydyuu
2764731437,2764731437,0976-1233,"[""0976-1233""]",2764731437.0,27723360.0,container/smwhld2nlfemdgzzzuqyp4s4ym
4210217368,4210217368,1528-7084,"[""1528-7084"", ""1533-4449""]",,,
119533669,119533669,1537-209X,"[""1537-209X""]",119533669.0,15746699.0,
4210211779,4210211779,1620-5340,"[""1620-5340"", ""2102-5150""]",,,
101185350,101185350,0162-7546,"[""1875-2977"", ""0162-7546""]",101185350.0,96331573.0,
4210230597,4210230597,0309-0671,"[""0309-0671""]",,,
4306465565,4306465565,,,,,
94841437,94841437,0121-1617,"[""1900-6152"", ""0121-1617""]",94841437.0,,
2764944482,2764944482,0023-4346,"[""1588-113X"", ""0023-4346""]",2764944482.0,,
2764663395,2764663395,1642-686X,"[""1642-686X"", ""2719-423X""]",2764663395.0,,
20186226,20186226,0285-1601,"[""0285-1601""]",20186226.0,4689928.0,
2764382574,2764382574,,,2764382574.0,15755031.0,
119077090,119077090,1475-4878,"[""1475-4878"", ""1747-3853""]",119077090.0,96738326.0,
83938913,83938913,0028-6060,"[""0028-6060""]",83938913.0,206249.0,
4210233018,4210233018,1351-3036,"[""1351-3036"", ""2051-316X""]",,,
31609097,31609097,0324-8569,"[""0324-8569""]",31609097.0,15745525.0,
141199735,141199735,2043-9113,"[""2043-9113""]",141199735.0,27723627.0,container/c32gofye6rcnvavvwobcncksaa
4210222545,4210222545,0885-6818,"[""2325-7210"", ""0885-6818""]",,25303246.0,
2764966318,2764966318,0817-8542,"[""0817-8542"", ""1836-2206""]",2764966318.0,15765372.0,
4210195004,4210195004,1065-2701,"[""1065-2701"", ""2169-0146""]",,96701452.0,
4210171014,4210171014,0105-3507,"[""0105-3507"", ""2597-2936""]",,,
2764847893,2764847893,1164-5571,"[""1164-5571""]",2764847893.0,21385875.0,
2765063755,2765063755,0976-4534,"[""0976-4534""]",2765063755.0,,container/gc7ixomqcrholk544yp7hgelwa
4306480477,4306480477,,,,,
2765040423,2765040423,1011-6079,"[""1011-6079""]",2765040423.0,,
2764398645,2764398645,1069-7225,"[""1069-7225"", ""2163-4556""]",2764398645.0,96696018.0,
2764916931,2764916931,0265-1491,"[""0265-1491""]",2764916931.0,27714926.0,container/ktjgy46j7zffxgptkzygce6iza
4306462926,4306462926,,,,,
4306504765,4306504765,,,,21386021.0,
2764668226,2764668226,,,2764668226.0,104674003.0,
80792265,80792265,0957-5847,"[""0957-5847"", ""1532-205X""]",80792265.0,27717630.0,
4210167866,4210167866,0047-2239,"[""0047-2239"", ""2325-8748""]",,96711391.0,
4210217301,4210217301,2155-9872,"[""2155-9872""]",,27724029.0,container/mcu6e635pjcrfesadq6dvkjhgq
2764485589,2764485589,0068-1385,"[""0068-1385"", ""2057-7818""]",2764485589.0,13548609.0,
4210191136,4210191136,2052-8426,"[""2052-8426""]",,27725367.0,container/z7hvohpf2jcsfjrj6prnjqi7iu
4210239963,4210239963,0364-1686,"[""2326-3075"", ""0364-1686""]",,26849223.0,
4306496609,4306496609,,,,,
4210180688,4210180688,0749-9833,"[""1942-8545"", ""0749-9833""]",,,
4306503259,4306503259,0364-1686,"[""0364-1686"", ""2326-3075""]",,26849223.0,
2764964090,2764964090,0025-5513,"[""0025-5513""]",2764964090.0,106653405.0,container/erp3rzvirzazzm4byiiorl2qdm
65409541,65409541,1746-0875,"[""1746-0883"", ""1746-0875""]",65409541.0,15758527.0,
4210168286,4210168286,1563-0803,"[""1563-0803""]",,96723201.0,container/5otxltqicvfevlg6tlygoz7td4
4306505620,4306505620,0008-5006,"[""0008-5006"", ""2375-2475""]",,15754742.0,
4210202990,4210202990,1861-4175,"[""1861-4175""]",,,container/mqu653d5pngjzkjiwjqimzmtvy
2764474016,2764474016,,,2764474016.0,,
2764722987,2764722987,2090-3162,"[""2090-3154"", ""2090-3162""]",2764722987.0,26842364.0,
183428155,183428155,0278-9434,"[""0278-9434""]",183428155.0,96334584.0,container/hdwpmh6fvjdvtd5jgj6duxhdia
2764693127,2764693127,0256-1751,"[""0256-1751""]",2764693127.0,96328149.0,
2764872482,2764872482,1539-9664,"[""1539-9664""]",2764872482.0,,
4306470569,4306470569,,,,,
4306534899,4306534899,,,,,
4306463516,4306463516,,,,,
147018782,147018782,,,147018782.0,96331379.0,
4210168614,4210168614,0214-8676,"[""0214-8676"", ""2386-4702""]",,96706648.0,
4306513217,4306513217,,,,,
71257975,71257975,0895-4852,"[""1936-4709"", ""0895-4852""]",71257975.0,,
2764796285,2764796285,,,2764796285.0,,
4306464186,4306464186,,,,,
2764775394,2764775394,,,2764775394.0,,
42309995,42309995,,,42309995.0,,
2764886562,2764886562,1082-5754,"[""1082-5754""]",2764886562.0,,
189387231,189387231,1235-4481,"[""1235-4481"", ""1459-9465""]",189387231.0,15710168.0,
4306477421,4306477421,,,,,
88241336,88241336,1687-7985,"[""1687-7985"", ""1687-7993""]",88241336.0,15760331.0,
97764784,97764784,,,97764784.0,15753976.0,
