work_id,concept_id,score
4310960001,2779315688,0.9070231
4310960001,2778357721,0.64221096
4310960001,2780829032,0.55177116
4310960001,144027150,0.52001953
4310960001,2779301978,0.5037996
4310960001,2779862049,0.49037194
4310960001,2778004101,0.41861498
4310960001,162008176,0.4184806
4310960001,86803240,0.4135935
4310960001,185592680,0.4135056
4310960001,96529984,0.41066027
4310960001,59822182,0.3533648
4310960001,55493867,0.30697244
4310960001,6557445,0.20955372
4310960001,181199279,0.16216636
4310960001,202751555,0.07591933
4310960001,2779054382,0.067596406
4310960001,147273371,0.0
2051135645,71924100,0.83064795
2051135645,2776612079,0.81654036
2051135645,177713679,0.55710703
2051135645,2781092032,0.5177621
2051135645,89423630,0.3768249
2051135645,2779841045,0.29233187
2051135645,142724271,0.19041935
2051135645,523546767,0.13444185
2051135645,86803240,0.09701687
2051135645,22070199,0.07627344
2051135645,54355233,0.0
2051136151,41008148,0.80139464
2051136151,136525101,0.71292734
2051136151,145667562,0.6747346
2051136151,200288055,0.4646418
2051136151,9390403,0.4315380999999999
2051136151,149635348,0.34020025
2051136151,71924100,0.0
2051136151,204787440,0.0
2051136151,142724271,0.0
2051136151,17744445,0.0
2051136151,199539241,0.0
2051136876,175656101,0.8220403000000001
2051136876,2777167505,0.723953
2051136876,116834253,0.56065273
2051136876,2778324911,0.55070716
2051136876,86803240,0.46792674
2051136876,2778575167,0.46521595
2051136876,95444343,0.4586513
2051136876,70721500,0.36995196
2051136876,153911025,0.3656415999999999
2051136876,185592680,0.32315186
2051136876,55493867,0.2239399
2051136876,81885089,0.22373632
2051136876,54355233,0.1905579
2051136876,181199279,0.08868617
2051136876,59822182,0.06071648
2051137881,41008148,0.75312334
2051137881,9940772,0.72006905
2051137881,107673813,0.5929736999999999
2051137881,28490314,0.5226507
2051137881,26760741,0.5095484
2051137881,2779843651,0.50010586
2051137881,163294075,0.48889676
2051137881,167310288,0.48652261
2051137881,99498987,0.47116905
2051137881,179518139,0.44941223
2051137881,64922751,0.42535415
2051137881,154945302,0.31240198
2051137881,13895895,0.24362347
2051137881,33923547,0.12219548
2051137881,15744967,0.10548884
2051137881,105795698,0.08532941
2051137881,169760540,0.0
2051137881,115961682,0.0
2051137881,199360897,0.0
2051138418,116515362,0.84707355
2051138418,116834253,0.65795
2051138418,82706917,0.62553704
2051138418,62354387,0.5420919
2051138418,121332964,0.3449667
2051138418,33923547,0.29036248
2051138418,134306372,0.23317051
2051138418,185544564,0.15037113
2051138418,86803240,0.07699147
2051138418,59822182,0.039789945
2051139206,15744967,0.60020804
2051139206,2776090404,0.42274898
2051139206,509550671,0.3966893
2051139206,73484699,0.39570916
2051139206,75630572,0.38248017
2051139206,71924100,0.16342285
2051139541,63162447,0.8670044
2051139541,130316041,0.7033115
2051139541,23265538,0.6718851
2051139541,95444343,0.59160227
2051139541,185592680,0.51663595
2051139541,12554922,0.43951595
2051139541,86803240,0.25840092
2051139541,55493867,0.2382168999999999
2051139541,181199279,0.16932884
2051139541,41625074,0.11959639
2051139566,2781013037,0.9697831
2051139566,41008148,0.72146887
2051139566,2522767166,0.5088237
2051139566,202353208,0.50347775
2051139566,124101348,0.38753778
2051139566,205649164,0.08043265
2051139566,162324750,0.07619929
2051139566,139719470,0.06607869
2051139566,153294291,0.0
2051139606,2778818304,0.79660416
2051139606,1862650,0.69832987
2051139606,3020453552,0.63030475
2051139606,71924100,0.59162647
2051139606,2778104916,0.51305616
2051139606,99508421,0.47422668
2051139606,2986595273,0.47007874
2051139606,170798268,0.4695867999999999
2051139606,2778336525,0.3356921
2051139606,15744967,0.30065376
2051139606,141071460,0.15156195
2051139606,542102704,0.07088944
2051139749,162356407,0.7474523
2051139749,49853544,0.66360295
2051139749,43617362,0.6453563
2051139749,202157981,0.6274272
2051139749,185592680,0.6069114999999999
2051139749,75280812,0.59925455
2051139749,58226133,0.55192775
2051139749,155574463,0.5363614999999999
2051139749,162711632,0.5051308
2051139749,46111723,0.47137937
2051139749,184651966,0.45111752
2051139749,106487976,0.4196519
2051139749,31827203,0.2861991
2051139749,55493867,0.14982533
2051139749,178790620,0.0941478
2051139749,150394285,0.0
2051139749,104317684,0.0
2051141196,2778151854,0.8333765
2051141196,2777214474,0.7414779
2051141196,27081682,0.71878123
2051141196,71924100,0.707227
2051141196,126322002,0.5193386999999999
2051141196,90924648,0.43610227
2051141196,142724271,0.05724147
2051141196,204787440,0.0
2051142601,73581560,0.8333681999999999
2051142601,126537357,0.6839279
2051142601,192562407,0.5945216
2051142601,120665830,0.5722003999999999
2051142601,121332964,0.15274978
2051142601,109693293,0.09162578
2051142601,159985019,0.0
2051142888,41008148,0.71428114
2051142888,11413529,0.6019688
2051142888,81917197,0.59864336
2051142888,189950617,0.58350354
2051142888,152361515,0.547345
2051142888,134400042,0.5121224
2051142888,127162648,0.5092869999999999
2051142888,171401667,0.4790041
2051142888,2776760102,0.41809237
2051142888,57273362,0.39373237
2051142888,157125643,0.18749359
2051142888,154945302,0.14208892
2051142888,78944582,0.13013601
2051142888,76155785,0.1259574
2051142888,138885662,0.0
2051142888,111472728,0.0
2051142888,127413603,0.0
2051142888,199360897,0.0
2051142888,146978453,0.0
2051142888,177264268,0.0
2051143688,2778152352,0.48460302
2051143688,41008148,0.4381113
2051143688,2780791683,0.42524695
2051143688,39432304,0.37334532
2051143688,33923547,0.1969912
2051143688,121332964,0.06325382
2051143688,134306372,0.0
2051143688,62520636,0.0
2051144475,57879066,0.69253135
2051144475,2777042112,0.6737514
2051144475,144836735,0.56171024
2051144475,38349280,0.5600839
2051144475,203311528,0.5366978
2051144475,205904022,0.4727895
2051144475,135692309,0.4696053
2051144475,121332964,0.4554609
2051144475,120665830,0.4446505
2051144475,192562407,0.35910293
2051144475,196558001,0.29531407
2051144475,33923547,0.16117951
2051144475,2524010,0.15429905
2051144475,134306372,0.11974096
2051144601,13553968,0.46544158
2051144601,15744967,0.42879042
2051144601,145420912,0.38510838
2051144601,19417346,0.33668774
2051145320,142362112,0.30020177
2051145344,116493835,0.9661532
2051145344,33923547,0.87018055
2051145344,2780990831,0.68990475
2051145344,114614502,0.66379684
2051145344,92207270,0.5436144
2051145344,129782007,0.48712873
2051145344,191795146,0.46694696
2051145344,106487976,0.42275575
2051145344,2524010,0.122428894
2051145344,158693339,0.11287174
2051145344,121332964,0.0
2051145344,192562407,0.0
2051145344,62520636,0.0
2051145344,17744445,0.0
2051145344,199539241,0.0
2051145344,159985019,0.0
2051145395,144133560,0.48224792
2051145680,2780093937,0.90650356
2051145680,71924100,0.46503538
2051145680,556039675,0.3622262
2051145680,16005928,0.3576957
2051145680,59822182,0.123918325
2051145680,86803240,0.10218197
2051145680,2775891814,0.0
2051145999,65655974,0.78953654
2051145999,41008148,0.38823837
2051145999,46312422,0.3853444
2051145999,185592680,0.34768808
2051145999,86803240,0.33774045
2051145999,33923547,0.33169597
2051145999,114614502,0.32012248
2051145999,121332964,0.27969265
2051145999,15744967,0.20324785
2051145999,24890656,0.08698946
2051147079,169468491,0.84317464
2051147079,41008148,0.6476844
2051147079,24590314,0.6271244
2051147079,165696696,0.5770746
2051147079,123606473,0.5648019
2051147079,115901376,0.5441744000000001
2051147079,120314980,0.489274
2051147079,2779662365,0.45241332
2051147079,105339364,0.43174237
2051147079,149635348,0.408757
2051147079,79403827,0.38976043
2051147079,31258907,0.30686146
2051147079,127413603,0.25442737
2051147079,115903868,0.16707784
2051147079,111919701,0.15082076
2051147079,38652104,0.09743002
2051147079,121332964,0.0
2051147079,78519656,0.0
2051147079,98045186,0.0
2051147079,62520636,0.0
2051147896,159047783,0.4133634
2051147896,71924100,0.20486304
2051148006,71924100,0.798488
2051148006,137627325,0.7198303
2051148006,181268634,0.71010005
2051148006,196762363,0.61119753
2051148006,16005928,0.47284156
2051148006,2776688490,0.43471274
2051148006,187212893,0.40863118
2051148006,141071460,0.31164718
2051148006,142724271,0.16734913
2051148008,2900643,0.9006071
2051148008,486523,0.8859093000000001
2051148008,118792377,0.61658645
2051148008,515207424,0.6040778
2051148008,2779433975,0.6012468000000001
2051148008,43617362,0.59712297
2051148008,2779074116,0.594857
2051148008,185592680,0.5583644
2051148008,2778439535,0.55255806
2051148008,196806460,0.43813032
2051148008,40250595,0.42014623
2051148008,192562407,0.28766736
2051148008,178790620,0.20471379
2051148008,55493867,0.058800578
2051148008,161790260,0.041921735
2051148008,159985019,0.0
2051148308,520434653,0.5711176
2051148308,33619061,0.52441466
2051148308,192562407,0.5240726
2051148308,125287762,0.5046848
2051148308,184779094,0.44999847
2051148308,120665830,0.32971203
2051148308,49040817,0.32668898
2051148308,121332964,0.13809356
2051148308,62520636,0.0
2051148308,159985019,0.0
2051148400,2778344882,0.90036035
2051148400,2779664554,0.7185043000000001
2051148400,3019835501,0.41796848
2051148400,71924100,0.31735456
2051148400,141071460,0.23053774
2051148400,120665830,0.1748544
2051148400,121332964,0.13105804
2051148400,192562407,0.054549903
2051148400,191897082,0.0
2051148458,177713679,0.55466366
2051148458,71924100,0.5475189
2051149479,5297727,0.7948735
2051149479,192562407,0.44095984
2051149479,121864883,0.36807823
2051149479,33923547,0.33219975
2051149479,26873012,0.32896614
2051149479,121332964,0.24385637
2051149479,105795698,0.22208828
2051149940,41008148,0.5523741999999999
2051149940,71924100,0.36687148
2051149940,2522767166,0.32760864
2051150319,121332964,0.96292233
2051150319,200006409,0.80971247
2051150319,201941533,0.77176857
2051150319,109214941,0.7532345
2051150319,2776887932,0.75142735
2051150319,106033101,0.5929241999999999
2051150319,67820243,0.45627135
2051150319,46460574,0.41783023
2051150319,185544564,0.41307825
2051150319,199539241,0.05401677
2051150319,17744445,0.0
2051151246,2780069185,0.80221677
2051151246,33923547,0.6345183000000001
2051151246,202444582,0.5148575
2051151246,114614502,0.3679312
2051151286,71924100,0.8696368
2051151286,2777681105,0.8189869000000001
2051151286,555293320,0.4845186999999999
2051151286,66938386,0.09436923
2051151286,134018914,0.090444386
2051151286,127413603,0.07389307
2051151295,135135165,0.8251823
2051151295,41008148,0.7522768
2051151295,164916973,0.6838916
2051151295,48145219,0.6506784000000001
2051151295,19768560,0.6380281999999999
2051151295,57041688,0.61698043
2051151295,12303254,0.6089981
2051151295,46451311,0.47245243
2051151295,2780378061,0.47065392
2051151295,123657996,0.45764914
2051151295,120314980,0.41973087
2051151295,31258907,0.40371448
2051151295,79403827,0.32612157
2051151295,5119721,0.1847142
2051151295,154945302,0.15272608
2051151295,35578498,0.15205237
2051151295,136764020,0.077177495
2051151295,142362112,0.0
2051151295,201100257,0.0
2051151295,136264566,0.0
2051151295,158379750,0.0
2051151295,162324750,0.0
2051151295,153349607,0.0
2051151742,56318395,0.8024359000000001
2051151742,208081375,0.5053728
2051151742,24890656,0.49329084
2051151742,41008148,0.33533406
2051151742,121332964,0.2737359
2051151742,62520636,0.0
2051151957,71924100,0.97653854
2051151957,2779863674,0.7536328
2051151957,61434518,0.47502548
2051151957,141071460,0.3529539
2051151957,2778655861,0.16181386
2051151957,2777085111,0.15593687
2051152012,142362112,0.5027765999999999
2051152012,52119013,0.38900512
2051152183,113324615,0.8040457
2051152183,2779235478,0.5394398
2051152183,169093310,0.5112469000000001
2051152183,136764020,0.50157523
2051152183,41008148,0.50119543
2051152183,108827166,0.48994583
2051152183,2778720087,0.48541722
2051152183,38652104,0.1907211
2051152183,138885662,0.0
2051152183,41895202,0.0
2051152183,199360897,0.0
2051152443,103486182,0.7053961
2051152443,151376022,0.6891181
2051152443,2776029896,0.4954654
2051152443,33923547,0.4742079
2051152443,185592680,0.42734212
2051152443,134306372,0.3533489
2051152443,121332964,0.32930115
2051152443,126322002,0.11463499
2051152443,71924100,0.08828077
2051152928,71924100,0.57660997
2051152928,2776344049,0.5326141
2051152928,29456083,0.45479184
2051152928,142724271,0.12652442
2051153189,143128703,0.46654817
2051153189,95457728,0.437432
2051153189,74916050,0.42597783
2051153189,199539241,0.36625165
2051153189,195244886,0.35626578
2051153189,17744445,0.24481517
2051153521,94625758,0.71950275
2051153521,118084267,0.4710619
2051153521,111472728,0.4631706
2051153521,144024400,0.44202322
2051153521,190253527,0.41502088
2051153521,17744445,0.3660062
2051153521,138885662,0.3081565
2051153521,162324750,0.28175962
2051153521,199539241,0.19554684
2051153866,55359492,0.93102145
2051153866,38349280,0.53667814
2051153866,33923547,0.40153998
2051153866,57879066,0.3999881
2051153866,199539241,0.36163267
2051153866,192562407,0.35250255
2051153866,127313418,0.3305518
2051153866,66938386,0.30562305
2051153866,202973686,0.22329634
2051153866,127413603,0.21902314
2051153866,2524010,0.19820994
2051153866,17744445,0.14987549
2051153866,121332964,0.14709762
2051153866,135628077,0.09819925
2051154505,2776291640,0.6003474
2051154505,162696548,0.52194804
2051154505,162324750,0.46184725
2051154505,144133560,0.4045881
2051154505,34447519,0.36113304
2051154505,136264566,0.32058468
2051154505,33923547,0.1411905
2051154505,105795698,0.0
2051154596,11026015,0.6986209
2051154596,114088122,0.6944239000000001
2051154596,50517652,0.5406174
2051154596,192562407,0.5378418
2051154596,137693562,0.53509724
2051154596,78519656,0.5318674
2051154596,186937647,0.5270781
2051154596,7694927,0.4940757999999999
2051154596,2780728072,0.47904623
2051154596,135628077,0.45454216
2051154596,193149544,0.44722852
2051154596,186260285,0.4267893
2051154596,1633027,0.41409943
2051154596,17829176,0.4130415
2051154596,41008148,0.3774676
2051154596,127413603,0.2925380999999999
2051154596,119599485,0.2511281
2051154596,49040817,0.24117616
2051154596,530198007,0.1984292
2051154596,149635348,0.17499563
2051154596,57879066,0.16208461
2051154596,114834414,0.12025306
2051154596,66938386,0.11551893
2051154596,146978453,0.104183584
2051154596,121332964,0.0
2051154787,201650216,0.78357214
2051154787,29122968,0.73164976
2051154787,98045186,0.5893804
2051154787,2778137410,0.54507995
2051154787,144133560,0.47977978
2051154787,112930515,0.47912857
2051154787,2779253866,0.46067274
2051154787,139807058,0.45718902
2051154787,42475967,0.423604
2051154787,41008148,0.41276848
2051154787,40700,0.3466288
2051154787,175444787,0.32734907
2051154787,162324750,0.24448332
2051154787,162853370,0.19863772
2051154787,127413603,0.188802
2051154787,41895202,0.0
2051154787,138885662,0.0
2051154787,121332964,0.0
2051154787,120665830,0.0
2051154787,111919701,0.0
2051155012,128536511,0.9589826
2051155012,24667770,0.53406197
2051155012,202225747,0.52920306
2051155012,144024400,0.34794098
2051155012,138885662,0.3279299
2051155012,95457728,0.32558483
2051155012,17744445,0.32074463
2051155312,15708023,0.53772324
2051155312,17744445,0.5289253
2051155312,2776074449,0.5245019000000001
2051155312,142362112,0.4130800999999999
2051155312,127313418,0.15990737
2051155312,165205528,0.037406296
2051155312,77928131,0.0
2051155925,2778805511,0.7118088
2051155925,120095180,0.6680033000000001
2051155925,41008148,0.5536865
2051155925,2778447006,0.45266163
2051155925,518677369,0.43237746
2051155925,23123220,0.395571
2051155925,161191863,0.30777663
2051155925,136764020,0.26716202
2051155925,185592680,0.13503113
2051155925,178790620,0.07217714
