work_id,related_work_id
4310960001,1552243836
4310960001,2219514562
4310960001,2285855108
4310960001,2405789574
4310960001,2552409608
4310960001,2742773800
4310960001,2891541693
4310960001,3038321298
4310960001,3080465338
4310960001,4310960001
2051135645,648151748
2051135645,2076696471
2051135645,1970721807
2051135645,2580773560
2051135645,2400324948
2051135645,1981953106
2051135645,2748952813
2051135645,3031052312
2051135645,4389568370
2051135645,3032375762
2051136151,2367582941
2051136151,2082914599
2051136151,2756570351
2051136151,2367499065
2051136151,2102015927
2051136151,2132500134
2051136151,2606427896
2051136151,4211139140
2051136151,2007805353
2051136151,2061864336
2051136876,2074723444
2051136876,1779172654
2051136876,4250091031
2051136876,2364175713
2051136876,119418178
2051136876,1991328382
2051136876,4283802959
2051136876,2019099201
2051136876,2031234266
2051136876,99320780
2051137881,2560832372
2051137881,1547880708
2051137881,1535778368
2051137881,2126629588
2051137881,2057114380
2051137881,2187375024
2051137881,4284892816
2051137881,3207839504
2051137881,2356876784
2051137881,2335515558
2051138418,2935759653
2051138418,3105167352
2051138418,54078636
2051138418,2954470139
2051138418,1501425562
2051138418,2902782467
2051138418,3084825885
2051138418,2298861036
2051138418,3148032049
2051138418,4206528341
2051139206,2899084033
2051139206,2748952813
2051139206,4210715409
2051139206,2378491075
2051139206,3200648804
2051139206,1985799102
2051139206,2521781036
2051139206,2159079264
2051139206,2368182051
2051139206,4361860456
2051139541,1992468948
2051139541,1554135241
2051139541,2087489293
2051139541,2010792879
2051139541,2066334461
2051139541,2114447715
2051139541,2401207827
2051139541,2132236695
2051139541,2071725693
2051139541,1957057114
2051139566,2532008419
2051139566,2749581084
2051139566,2908394980
2051139566,1546101565
2051139566,2592828040
2051139566,2748952813
2051139566,2899084033
2051139566,2098567841
2051139566,3124209601
2051139566,2238969010
2051139606,2034776544
2051139606,2794737190
2051139606,2418477374
2051139606,2954109055
2051139606,4245115340
2051139606,4292658646
2051139606,1989777462
2051139606,3000740367
2051139606,2064733100
2051139606,2511099556
2051139749,2063435537
2051139749,4244132909
2051139749,1980996639
2051139749,2109089718
2051139749,1987227393
2051139749,2100214054
2051139749,1974976320
2051139749,2055969471
2051139749,2033330638
2051139749,1970816245
2051141196,4384702900
2051141196,2393158688
2051141196,2289887497
2051141196,2985758709
2051141196,2053744858
2051141196,3146460216
2051141196,2130160959
2051141196,2064251992
2051141196,2059915538
2051141196,1859326399
2051142601,1976954923
2051142601,2062977918
2051142601,2394968819
2051142601,2779460336
2051142601,2114719882
2051142601,2401668209
2051142601,2080270744
2051142601,3117441780
2051142601,2125141074
2051142601,2993572186
2051142888,2159059820
2051142888,2544813365
2051142888,2017110803
2051142888,2082593890
2051142888,2137420069
2051142888,1968190056
2051142888,2389793738
2051142888,2376208682
2051142888,2003090625
2051142888,2924107927
2051143688,2748952813
2051143688,2390279801
2051143688,2358668433
2051143688,2376932109
2051143688,2001405890
2051143688,2382290278
2051143688,2350741829
2051143688,2130043461
2051143688,2530322880
2051143688,1596801655
2051144475,2115666905
2051144475,1702821
2051144475,1484056900
2051144475,1989965977
2051144475,2372950632
2051144475,2136634899
2051144475,2585996307
2051144475,2372272697
2051144475,1521667
2051144475,4244584856
2051144601,2899084033
2051144601,2615140757
2051144601,3206990301
2051144601,2615676877
2051144601,2748952813
2051144601,2931662336
2051144601,2077865380
2051144601,2134894512
2051144601,2053487507
2051144601,2765597752
2051145320,2778153218
2051145320,2758277628
2051145320,3110381201
2051145320,3173606202
2051145320,3183948672
2051145320,1531601525
2051145320,2899084033
2051145320,2748952813
2051145320,2948807893
2051145320,4387497383
2051145344,2077043254
2051145344,1993502443
2051145344,4285792756
2051145344,2391021702
2051145344,1987972399
2051145344,2890157477
2051145344,2033895221
2051145344,2025456998
2051145344,2953008743
2051145344,1894986263
2051145395,2055151044
2051145395,2581745084
2051145395,2051331738
2051145395,2022548390
2051145395,2586531396
2051145395,1947684173
2051145395,2765153054
2051145395,3020938133
2051145395,2596173151
2051145395,1491839574
2051145680,2748952813
2051145680,3031052312
2051145680,4389568370
2051145680,2052692718
2051145680,3032375762
2051145680,1995515455
2051145680,2080531066
2051145680,2040026916
2051145680,2586801360
2051145680,3108674512
2051145999,2119695867
2051145999,2046158694
2051145999,2788277189
2051145999,1971568933
2051145999,2082860237
2051145999,2130076355
2051145999,1990804418
2051145999,1993764875
2051145999,2360051520
2051145999,2013243191
2051147079,2169011989
2051147079,2387856388
2051147079,2384383034
2051147079,17155033
2051147079,3207760230
2051147079,1496222301
2051147079,1590307681
2051147079,2536018345
2051147079,2158791823
2051147079,1985155574
2051147896,1489156230
2051147896,2007075040
2051147896,4317373171
2051147896,2015220664
2051147896,2016295398
2051147896,2078892060
2051147896,2135539943
2051147896,2092264542
2051147896,2300172998
2051147896,1948693380
2051148006,3201494419
2051148006,2050077187
2051148006,332191053
2051148006,2385455287
2051148006,4280526953
2051148006,2472438520
2051148006,2364602426
2051148006,2161910291
2051148006,2129271976
2051148006,3030619716
2051148008,2351575504
2051148008,2030496737
2051148008,2291064942
2051148008,2082031573
2051148008,2460112770
2051148008,1991060416
2051148008,1899600908
2051148008,1993478038
2051148008,2057585217
2051148008,2749969665
2051148308,4385201631
2051148308,2046842336
2051148308,2363759841
2051148308,2359819663
2051148308,1979116747
2051148308,2004796735
2051148308,2008306218
2051148308,2048403955
2051148308,3134338406
2051148308,2272854161
2051148400,2955491601
2051148400,146529714
2051148400,2316500695
2051148400,2017914143
2051148400,294285819
2051148400,2390764861
2051148400,146242624
2051148400,2518505652
2051148400,3142396426
2051148400,2471333042
2051148458,3031052312
2051148458,3032375762
2051148458,1995515455
2051148458,2080531066
2051148458,3108674512
2051148458,1506200166
2051148458,4389568370
2051148458,2586801360
2051148458,1489783725
2051148458,2748952813
2051149479,1979597421
2051149479,747394405
2051149479,2007980826
2051149479,1987236514
2051149479,4245490552
2051149479,4246450666
2051149479,4388998267
2051149479,174653542
2051149479,4225152035
2051149479,2898370298
2051149940,2748952813
2051149940,2899084033
2051149940,3032375762
2051149940,2080531066
2051149940,3108674512
2051149940,1506200166
2051149940,2048182022
2051149940,2604872355
2051149940,3031052312
2051149940,1995515455
2051150319,2035183848
2051150319,2336015134
2051150319,2084118737
2051150319,2155683800
2051150319,2128164608
2051150319,1973174666
2051150319,2030601961
2051150319,1989322625
2051150319,2380844289
2051150319,2074778804
2051151246,1979597421
2051151246,2007980826
2051151246,4245490552
2051151246,4225152035
2051151246,2061531152
2051151246,3002753104
2051151246,2077600819
2051151246,1587224694
2051151246,2911598644
2051151246,2042127053
2051151286,2899084033
2051151286,2748952813
2051151286,3031052312
2051151286,4389568370
2051151286,3032375762
2051151286,1995515455
2051151286,2080531066
2051151286,2586801360
2051151286,3108674512
2051151286,1506200166
2051151295,2104399028
2051151295,1911606914
2051151295,3053061680
2051151295,2656764575
2051151295,2913939664
2051151295,2090257659
2051151295,2084807716
2051151295,2898305502
2051151295,3148379093
2051151295,2001369482
2051151742,2383068986
2051151742,2090275562
2051151742,3152005513
2051151742,2020960496
2051151742,1266100159
2051151742,2088920587
2051151742,2034887142
2051151742,2139162221
2051151742,2092329823
2051151742,2046074924
2051151957,2748952813
2051151957,3031052312
2051151957,4389568370
2051151957,3032375762
2051151957,1995515455
2051151957,2080531066
2051151957,2586801360
2051151957,3108674512
2051151957,1506200166
2051151957,1489783725
2051152012,2748952813
2051152012,3193615524
2051152012,2948807893
2051152012,3110381201
2051152012,3183948672
2051152012,3173606202
2051152012,2899084033
2051152012,1531601525
2051152012,2778153218
2051152012,2758277628
2051152183,147720509
2051152183,4245318332
2051152183,175946208
2051152183,1536759569
2051152183,2213445138
2051152183,2886266782
2051152183,2940702331
2051152183,4255095388
2051152183,2338538212
2051152183,1601434535
2051152443,3165720102
2051152443,2073126539
2051152443,4375955088
2051152443,1995826951
2051152443,2340005245
2051152443,1547508840
2051152443,2052773812
2051152443,2428872210
2051152443,2181360123
2051152443,1977660407
2051152928,2748952813
2051152928,2899084033
2051152928,3031052312
2051152928,4389568370
2051152928,3032375762
2051152928,1995515455
2051152928,2080531066
2051152928,2586801360
2051152928,3108674512
2051152928,1506200166
2051153189,641375386
2051153189,2316784062
2051153189,2497195245
2051153189,2899084033
2051153189,2388646904
2051153189,3178979361
2051153189,4238054644
2051153189,4245497064
2051153189,2740791593
2051153189,2015472536
2051153521,4301937836
2051153521,3186984283
2051153521,2011788350
2051153521,1533898226
2051153521,2064732540
2051153521,2602944262
2051153521,2502534192
2051153521,1602323185
2051153521,2748952813
2051153521,2899084033
2051153866,2329851249
2051153866,2089339996
2051153866,2054045937
2051153866,2741693157
2051153866,2088545775
2051153866,1998591240
2051153866,7612966
2051153866,765582854
2051153866,2571459446
2051153866,2081359958
2051154505,2023840506
2051154505,2512530044
2051154505,2371495459
2051154505,2520231746
2051154505,2486687973
2051154505,2044347269
2051154505,2369355673
2051154505,2899084033
2051154505,1502198272
2051154505,2017540542
2051154596,4312336109
2051154596,2367275322
2051154596,3011940019
2051154596,2094693852
2051154596,2726952278
2051154596,2327591730
2051154596,2115443918
2051154596,4255119783
2051154596,2159337632
2051154596,1977927964
2051154787,343118024
2051154787,417827496
2051154787,639480041
2051154787,1535781012
2051154787,1583855806
2051154787,1949732946
2051154787,1990522469
2051154787,2030539801
2051154787,2082101536
2051154787,2082899566
2051154787,2116029071
2051154787,2163834112
2051154787,2187282642
2051154787,2316320544
2051154787,2329208267
2051154787,2562728525
2051154787,2687451680
2051154787,2774699074
2051154787,2909379788
2051154787,1827140175
2051155012,1998804877
2051155012,1986506833
2051155012,2022724687
2051155012,1993526571
2051155012,2080421371
2051155012,2775671256
2051155012,1995352210
2051155012,2570135936
2051155012,1992642813
2051155012,2015367768
2051155312,2748952813
2051155312,2899084033
2051155312,3110381201
2051155312,3173606202
2051155312,2778153218
2051155312,3183948672
2051155312,2948807893
2051155312,1531601525
2051155312,2758277628
2051155312,4387497383
